id,nombre,descripcion,categoria,condicion,precio,valorIntrinseco
1,Razer BlackWidow Chroma Keyboard,This keyboard is in great condition and works like it came out of the box. All of the ports are tested and work perfectly. The lights are customizable via the Razer Synapse app on your PC.,Hombres,3,153734.36,137909.9739205464
2,AVA-VIV Blouse,"Adorable top with a hint of lace and a key hole in the back! The pale pink is a 1X, and I also have a 3X available in white!",Deportes y aire libre,1,29564.3,14182.596387709045
3,Acacia pacific tides santorini top,"Size small but straps slightly shortened to fit xs, besides that, perfect condition",Deportes y aire libre,3,189211.52,162288.23009749997
4,Girls cheer and tumbling bundle of 7,You get three pairs of Sophie cheer shorts size small and medium girls and two sports bra/boy shorts spandex matching sets in small and medium girls. All items total retail for [rm] in store and you can take him today for less than the price of one item at the store!),Infantil,3,17738.579999999998,15475.347501862663
5,Girls Nike Pro shorts,Girls Size small Plus green. Three shorts total.,Infantil,3,56172.17,47744.13870494806
6,Smashbox primer,0.25 oz Full size is 1oz for [rm] in Sephora,Hecho a mano,2,23651.44,16254.243025319223
7,New vs pi k body mists,(5) new vs pink body mists (2.5 oz each) Fresh & Clean Sun kiss Cool and bright Total flirt Sweet and flirty,Hecho a mano,1,100518.62,40401.197254798804
8,Black Skater dress,"Xl, great condition",Deportes y aire libre,2,47302.88,29323.487019332115
9,Sharpener and eraser,No description yet,Casa,1,11825.72,4914.217418420229
10,HOLD for Dogs2016 Minnetonka boots,Authentic. Suede fringe boots. Great condition! Size 7. If you are between the sizes 5.5-7 and love wearing thick socks during the winter they'd be perfect for you as well (I did last winter) :),Deportes y aire libre,3,127126.48999999999,102015.73979970756
11,Sephora tarte birthday gift,Brand new. Deluxe travel size products. Contains: Amazonian Clay 12 hour Blush in Paaarty - .05oz/1.5g Tarteist Lip Paint in Birthday Suit - .034oz/1ml,Hecho a mano,1,32520.73,15671.11408690817
12,Glitter Eyeshadow,2 glitter eyeshadows; one in Brass and one in Bleached.,Hecho a mano,1,17738.579999999998,7504.655687331266
13,"Too Faced Limited ""Merry Macaroons""","This AUTHENTIC pallete by Too Faced is brand new in mint condition still in original box. It's part of the. Christmas 2016 collection. It has 12 pretty eye shadow colors and a small sized""Better Than Sex"" mascara. Never even swatched. Impeccable shape. Price includes 2 day priority shipping with insurance.",Hecho a mano,1,73910.75,35288.06050818001
14,Cream/ Beige Front Cross Shirt,"Fancy, dressy or casual! Dress it up or down 100% polyester; washed once, never dried. Size: Small Brand: lush Purchased from Francesca's Tags: Free People, Anthropology, Dry Goods, Francesca's",Deportes y aire libre,2,79823.61,50284.13079178536
15,Torrid Nautical Peplum Tube Top,Size 1. Worn once. Excellent condition,Deportes y aire libre,3,38433.59,33037.91699537425
16,NWT VS ULTIMATE SPORTS BRA 34ddd,NWT Victoria's Secret ULTIMATE SPORT BRA -MAXIMUM SUPPORT SIZE 34ddd,Deportes y aire libre,1,59128.6,29179.181171000957
17,Galaxy S7 Edge (Unlocked) 32GB,"Reasonable offers welcomed. But if you ask ""lowest"" or lowball I'll block you... - This phone was opened under T-Mobile but has now been unlocked after switching to new phone. - All of the buttons are functioning like new still. - It's in perfect used condition - Check my reviews for honest feedback. - 32GB ; Sorry no charger included",Hombres,3,1141181.98,982923.389555552
18,Black and Red Baseball Tee,"lanascloset ~~~ description: never worn! ✨ i delete/update my listings and relist them so like my “sold” listings to have easier access to my shop later on ~~~ ✨ i normally ship the following day, but it happens that i ship a few days after purchase ~~~ forever 21 brandy Melville baseball tee",Deportes y aire libre,2,29564.3,17985.781462786916
19,Air Jordan carmine 6s,They are 100 percent authentic. They are beaters but they still have a lot of life in them. No original box.,Otro,3,195124.37999999998,160169.4570562708
20,Otterbox Defender iPhone 6 Plus/6s Plus,Brand new Otterbox Defender iPhone 6 Plus/6s Plus,Hombres,1,38433.59,16883.229059333695
